TradeId, Spot, Strike, timeToMaturity, IR, Sigma, OptionPrice, timeTaken 
TID_0,78.81092554,78.81092554,1.970273138,0.157621851,0.591081942,29.81599575,2.9959678649902344ms
TID_0_bumped_spot_-8.0000,72.50605149,78.81092554,1.970273138,0.157621851,0.591081942,24.90035548,3.0820369720458984ms
TID_0_bumped_spot_-2.0000,77.23470703,78.81092554,1.970273138,0.157621851,0.591081942,28.55504545,3.0841827392578125ms
TID_0_bumped_spot_2.0000,80.38714405,78.81092554,1.970273138,0.157621851,0.591081942,31.09190328,3.003835678100586ms
TID_0_bumped_spot_8.0000,85.11579958,78.81092554,1.970273138,0.157621851,0.591081942,34.99895107,3.9598941802978516ms
TID_0_bumped_spot_-9.0000,71.71794224,78.81092554,1.970273138,0.157621851,0.591081942,24.30687676,2.032756805419922ms
TID_0_bumped_spot_9.0000,85.90390883,78.81092554,1.970273138,0.157621851,0.591081942,35.66097004,1.003265380859375ms
TID_0_bumped_spot_-10.0000,70.92983298,78.81092554,1.970273138,0.157621851,0.591081942,23.72012622,2.0034313201904297ms
TID_0_bumped_spot_-3.0000,76.44659777,78.81092554,1.970273138,0.157621851,0.591081942,27.92999337,2.0034313201904297ms
TID_0_bumped_spot_3.0000,81.1752533,78.81092554,1.970273138,0.157621851,0.591081942,31.73323325,1.9109249114990234ms
TID_0_bumped_spot_-4.0000,75.65848851,78.81092554,1.970273138,0.157621851,0.591081942,27.31283742,2.1114349365234375ms
TID_0_bumped_spot_-1.0000,78.02281628,78.81092554,1.970273138,0.157621851,0.591081942,29.1827235,2.002239227294922ms
TID_0_bumped_spot_1.0000,79.59903479,78.81092554,1.970273138,0.157621851,0.591081942,30.45253352,2.0003318786621094ms
TID_0_bumped_spot_4.0000,81.96336256,78.81092554,1.970273138,0.157621851,0.591081942,32.37889953,0.9167194366455078ms
TID_0_bumped_spot_-5.0000,74.87037926,78.81092554,1.970273138,0.157621851,0.591081942,26.70277441,1.9998550415039062ms
TID_0_bumped_spot_5.0000,82.75147181,78.81092554,1.970273138,0.157621851,0.591081942,33.02961912,0.9615421295166016ms
TID_0_bumped_spot_-6.0000,74.08227,78.81092554,1.970273138,0.157621851,0.591081942,26.09910822,1.8982887268066406ms
TID_0_bumped_spot_6.0000,83.53958107,78.81092554,1.970273138,0.157621851,0.591081942,33.68369876,2.000093460083008ms
TID_0_bumped_spot_-7.0000,73.29416075,78.81092554,1.970273138,0.157621851,0.591081942,25.49834475,1.0633468627929688ms
TID_0_bumped_spot_7.0000,84.32769032,78.81092554,1.970273138,0.157621851,0.591081942,34.33942135,1.0061264038085938ms
TID_0_bumped_strike_-8.0000,78.81092554,72.50605149,1.970273138,0.157621851,0.591081942,32.62257073,1.9998550415039062ms
TID_0_bumped_strike_-2.0000,78.81092554,77.23470703,1.970273138,0.157621851,0.591081942,30.49567849,3.0002593994140625ms
TID_0_bumped_strike_2.0000,78.81092554,80.38714405,1.970273138,0.157621851,0.591081942,29.15121579,3.003358840942383ms
TID_0_bumped_strike_8.0000,78.81092554,85.11579958,1.970273138,0.157621851,0.591081942,27.27464696,2.0880699157714844ms
TID_0_bumped_strike_-9.0000,78.81092554,71.71794224,1.970273138,0.157621851,0.591081942,32.99152204,1.9993782043457031ms
TID_0_bumped_strike_9.0000,78.81092554,85.90390883,1.970273138,0.157621851,0.591081942,26.97475619,1.0046958923339844ms
TID_0_bumped_strike_-10.0000,78.81092554,70.92983298,1.970273138,0.157621851,0.591081942,33.36700797,2.0041465759277344ms
TID_0_bumped_strike_-3.0000,78.81092554,76.44659777,1.970273138,0.157621851,0.591081942,30.83912813,1.9955635070800781ms
TID_0_bumped_strike_3.0000,78.81092554,81.1752533,1.970273138,0.157621851,0.591081942,28.82403173,3.0007362365722656ms
TID_0_bumped_strike_-4.0000,78.81092554,75.65848851,1.970273138,0.157621851,0.591081942,31.18754866,2.918720245361328ms
TID_0_bumped_strike_-1.0000,78.81092554,78.02281628,1.970273138,0.157621851,0.591081942,30.15438799,2.3529529571533203ms
TID_0_bumped_strike_1.0000,78.81092554,79.59903479,1.970273138,0.157621851,0.591081942,29.48085957,1.0006427764892578ms
TID_0_bumped_strike_4.0000,78.81092554,81.96336256,1.970273138,0.157621851,0.591081942,28.50368595,1.0001659393310547ms
TID_0_bumped_strike_-5.0000,78.81092554,74.87037926,1.970273138,0.157621851,0.591081942,31.54130652,2.0089149475097656ms
TID_0_bumped_strike_5.0000,78.81092554,82.75147181,1.970273138,0.157621851,0.591081942,28.18974128,2.9997825622558594ms
TID_0_bumped_strike_-6.0000,78.81092554,74.08227,1.970273138,0.157621851,0.591081942,31.89849991,1.0044574737548828ms
TID_0_bumped_strike_6.0000,78.81092554,83.53958107,1.970273138,0.157621851,0.591081942,27.88201103,2.0012855529785156ms
TID_0_bumped_strike_-7.0000,78.81092554,73.29416075,1.970273138,0.157621851,0.591081942,32.25833263,2.079010009765625ms
TID_0_bumped_strike_7.0000,78.81092554,84.32769032,1.970273138,0.157621851,0.591081942,27.5772816,1.0068416595458984ms
TID_0_bumped_ir_-0.9000,78.81092554,78.81092554,1.970273138,0.156203254,0.591081942,29.71698663,1.0037422180175781ms
TID_0_bumped_ir_-0.7000,78.81092554,78.81092554,1.970273138,0.156518498,0.591081942,29.73898755,2.000570297241211ms
TID_0_bumped_ir_-0.5000,78.81092554,78.81092554,1.970273138,0.156833742,0.591081942,29.7609891,1.0027885437011719ms
TID_0_bumped_ir_0.4000,78.81092554,78.81092554,1.970273138,0.158252338,0.591081942,29.86000394,1.992940902709961ms
TID_0_bumped_ir_0.5000,78.81092554,78.81092554,1.970273138,0.15840996,0.591081942,29.87100638,1.9998550415039062ms
TID_0_bumped_ir_0.3000,78.81092554,78.81092554,1.970273138,0.158094717,0.591081942,29.84900165,1.997232437133789ms
